,Season,Match Number,Round Number,Week,Date,Location,Home Team,Away Team,AB_HOME,Pace_HOME,OffRtg_HOME,DefRtg_HOME,NetRtg_HOME,GOW_HOME,AB_AWAY,Pace_AWAY,OffRtg_AWAY,DefRtg_AWAY,NetRtg_AWAY,GOW_AWAY,Result
686,18-19,719,14,14,29/03/2021 21:00,Chesapeake Energy Arena,Oklahoma City Thunder,Dallas Mavericks,OKC,100.4,104.9,111.1,-6.1," @ MIN, vs. MEM, vs. BOS",DAL,98.3,113.8,112.6,+1.2," @ MIN, vs. IND, @ NOP",106 - 127
687,18-19,720,14,14,29/03/2021 21:30,AT&T Center,San Antonio Spurs,Sacramento Kings,SAS,100.0,109.8,109.6,+0.2," vs. CHA, vs. LAC, vs. LAC, vs. CHI",SAC,100.8,113.4,118.5,-5.1," @ CLE, vs. ATL, vs. GSW, vs. CLE",115 - 132
688,18-19,721,14,14,29/03/2021 22:00,Vivint Arena,Utah Jazz,Cleveland Cavaliers,UTA,99.7,116.6,109.0,+7.6," @ CHI, vs. BKN, vs. MEM, vs. MEM",CLE,98.1,104.7,112.6,-7.8," vs. SAC, @ CHI, @ LAL, @ SAC",114 - 75
689,18-19,722,14,14,29/03/2021 23:00,Chase Center,Golden State Warriors,Chicago Bulls,GSW,103.6,108.7,108.8,-0.2," vs. PHI, @ SAC, vs. ATL",CHI,101.3,111.2,111.4,-0.2," vs. UTA, vs. CLE, @ SAS",116 - 102
690,18-19,723,14,14,29/03/2021 23:00,STAPLES Center,LA Clippers,Milwaukee Bucks,LAC,98.3,116.6,111.3,+5.2," vs. ATL, @ SAS, @ SAS, vs. PHI",MIL,102.5,116.5,109.3,+7.2," vs. IND, vs. BOS, vs. BOS, vs. NYK",129 - 105
691,18-19,724,14,14,30/03/2021 20:00,Capital One Arena,Washington Wizards,Charlotte Hornets,WAS,104.9,109.4,114.0,-4.6," @ NYK, @ NYK, vs. DET",CHA,100.8,110.8,112.2,-1.4," @ SAS, @ HOU, vs. MIA, vs. PHX",104 - 114
692,18-19,725,14,14,30/03/2021 22:00,Ball Arena,Denver Nuggets,Philadelphia 76ers,DEN,97.9,116.6,111.4,+5.2," @ ORL, @ TOR, @ NOP, vs. ATL",PHI,101.3,112.2,107.1,+5.1," @ GSW, @ LAL, @ LAC",104 - 95
693,18-19,171,14,14,30/03/2021 23:00,Phoenix Suns Arena,Phoenix Suns,Atlanta Hawks,PHX,98.4,114.8,108.2,+6.5," @ MIA, @ ORL, @ TOR, @ CHA",ATL,98.7,113.3,111.5,+1.8," @ LAC, @ SAC, @ GSW, @ DEN",117 - 110
694,18-19,727,14,14,30/03/2021 23:00,STAPLES Center,LA Clippers,Orlando Magic,LAC,98.3,116.6,111.3,+5.2," vs. ATL, @ SAS, @ SAS, vs. PHI",ORL,99.1,105.2,111.9,-6.7," vs. DEN, vs. PHX, vs. POR, @ LAL",96 - 103
695,18-19,728,15,15,31/03/2021 20:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,DET,97.9,107.8,111.6,-3.8," vs. TOR, vs. POR, vs. WAS, vs. NYK",POR,98.6,116.2,116.9,-0.6," @ DET, vs. MIL, vs. OKC",101 - 124
696,18-19,729,15,15,31/03/2021 20:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,IND,100.4,111.3,111.0,+0.3," @ WAS, vs. MIA, vs. CHA, @ SAS",MIA,97.7,108.0,109.7,-1.7," @ NYK, @ IND, vs. GSW, vs. CLE",87 - 92
697,18-19,730,15,15,31/03/2021 20:30,TD Garden,Boston Celtics,Dallas Mavericks,BOS,98.7,113.2,112.2,+1.1," vs. NOP, vs. DAL, vs. HOU, vs. CHA",DAL,98.2,113.7,112.7,+1.0," @ OKC, @ BOS, @ NYK, @ WAS",108 - 113
698,18-19,731,15,15,31/03/2021 20:30,Barclays Center,Brooklyn Nets,Houston Rockets,BKN,100.3,117.4,113.6,+3.8," vs. MIN, vs, HOU, vs. CHA, @ CHI",HOU,101.3,105.8,111.3,-5.5," vs. MEM, @ BKN, @ BOS, vs. NOP",120 - 108
699,18-19,732,15,15,31/03/2021 21:00,FedExForum,Memphis Grizzlies,Utah Jazz,MEM,101.3,109.7,109.4,+0.3," @ HOU, vs. UTA, vs. MIN, @ PHI",UTA,99.8,116.8,108.3,+8.5," vs. CLE, @ MEM, vs. CHI, vs. ORL",107 - 111
700,18-19,733,15,15,31/03/2021 21:00,Target Center,Minnesota Timberwolves,New York Knicks,MIN,101.8,106.7,114.2,-7.4," @ BKN, vs. NYK, @ MEM, @ PHI",NYK,96.7,108.7,108.1,+0.6," vs. MIA, @ MIN, vs. DAL, @ DET",102 - 101
701,18-19,734,15,15,31/03/2021 21:00,Chesapeake Energy Arena,Oklahoma City Thunder,Toronto Raptors,OKC,100.5,104.7,110.8,-6.1," vs. DAL, vs. TOR, @ PHX, @ POR",TOR,99.9,112.4,112.5,-0.1," @ DET, @ OKC, vs. GSW",113 - 103
702,18-19,735,15,15,31/03/2021 21:30,AT&T Center,San Antonio Spurs,Sacramento Kings,SAS,99.8,109.3,109.8,-0.5," vs. SAC, vs. SAC, vs. ATL, vs. IND",SAC,100.5,113.9,117.7,-3.9," @ SAS, @ SAS, vs. LAL, vs. MIL",120 - 106
703,18-19,736,15,15,31/03/2021 23:00,STAPLES Center,Los Angeles Lakers,Milwaukee Bucks,LAL,99.1,110.5,105.8,+4.7," vs. MIL, @ SAC, @ LAC",MIL,102.3,116.6,109.6,+7.0," @ LAC, @ LAL, @ POR, @ SAC",97 - 112
704,18-19,737,15,15,31/03/2021 23:00,Phoenix Suns Arena,Phoenix Suns,Chicago Bulls,PHX,98.0,114.4,108.0,+6.4," vs. ATL, vs. CHI, vs. OKC",CHI,101.1,110.4,111.7,-1.3," @ GSW, @ PHX, @ UTA, vs. BKN",121 - 116
705,18-19,179,15,15,01/04/2021 20:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,DET,97.9,107.8,111.6,-3.8," vs. TOR, vs. POR, vs. WAS, vs. NYK",WAS,104.8,109.0,113.5,-4.5," vs. IND, vs. CHA, @ DET, vs. DAL",120 - 91
706,18-19,739,15,15,01/04/2021 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,CLE,98.1,104.3,111.8,-7.5," @ UTA, vs. PHI, @ MIA",PHI,101.2,112.1,107.1,+5.0," @ DEN, @ CLE, vs. MIN, vs. MEM",94 - 114
707,18-19,740,15,15,01/04/2021 20:30,Barclays Center,Brooklyn Nets,Charlotte Hornets,BKN,100.3,117.4,113.6,+3.8," vs. MIN, vs, HOU, vs. CHA, @ CHI",CHA,100.1,110.9,111.7,-0.8," @ WAS, @ BKN, @ IND, @ BOS",111 - 89
708,18-19,741,15,15,01/04/2021 21:00,AmericanAirlines Arena,Miami Heat,Golden State Warriors,MIA,97.7,108.0,109.7,-1.7," @ NYK, @ IND, vs. GSW, vs. CLE",GSW,103.2,108.8,110.0,-1.2," vs. CHI, @ MIA, @ TOR, @ ATL",116 - 109
709,18-19,742,15,15,01/04/2021 21:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,NOP,98.9,115.9,115.6,+0.3," @ BOS, vs. ORL, vs. ATL, @ HOU",ORL,98.9,105.3,111.8,-6.5," @ LAC, @ NOP, @ UTA, @ DEN",110 - 115
710,18-19,743,15,15,01/04/2021 21:30,AT&T Center,San Antonio Spurs,Atlanta Hawks,SAS,99.8,109.3,109.8,-0.5," vs. SAC, vs. SAC, vs. ATL, vs. IND",ATL,98.4,113.6,112.3,+1.3," @ PHX, @ SAS, @ NOP, vs. GSW",129 - 134
711,18-19,744,15,15,01/04/2021 23:00,STAPLES Center,LA Clippers,Denver Nuggets,LAC,98.1,117.1,111.0,+6.1," vs. MIL, vs. ORL, vs. DEN, vs. LAL",DEN,97.6,117.0,111.9,+5.1," vs. PHI, @ LAC, vs. ORL",94 - 101
712,18-19,745,15,15,02/04/2021 20:00,Amalie Arena,Toronto Raptors,Golden State Warriors,TOR,99.9,112.4,112.5,-0.1," @ DET, @ OKC, vs. GSW",GSW,103.2,108.8,110.0,-1.2," vs. CHI, @ MIA, @ TOR, @ ATL",130 - 77
713,18-19,746,15,15,02/04/2021 20:30,TD Garden,Boston Celtics,Houston Rockets,BOS,98.7,113.2,112.2,+1.1," vs. NOP, vs. DAL, vs. HOU, vs. CHA",HOU,101.3,105.8,111.3,-5.5," vs. MEM, @ BKN, @ BOS, vs. NOP",118 - 102
714,18-19,747,15,15,02/04/2021 20:30,Madison Square Garden,New York Knicks,Dallas Mavericks,NYK,96.7,108.7,108.1,+0.6," vs. MIA, @ MIN, vs. DAL, @ DET",DAL,98.2,113.7,112.7,+1.0," @ OKC, @ BOS, @ NYK, @ WAS",86 - 99
