Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,19/10/2021 20:30,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,127 - 104
2,1,19/10/2021 23:00,STAPLES Center,Los Angeles Lakers,Golden State Warriors,114 - 121
3,1,20/10/2021 20:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,123 - 122
4,1,20/10/2021 20:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,88 - 94
5,1,20/10/2021 20:30,Madison Square Garden,New York Knicks,Boston Celtics,138 - 134
6,1,20/10/2021 20:30,Scotiabank Arena,Toronto Raptors,Washington Wizards,83 - 98
7,1,20/10/2021 21:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,132 - 121
8,1,20/10/2021 21:00,Target Center,Minnesota Timberwolves,Houston Rockets,124 - 106
9,1,20/10/2021 21:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,97 - 117
10,1,20/10/2021 21:30,AT&T Center,San Antonio Spurs,Orlando Magic,123 - 97
11,1,20/10/2021 22:00,Vivint Arena,Utah Jazz,Oklahoma City Thunder,107 - 86
12,1,20/10/2021 23:00,Footprint Center,Phoenix Suns,Denver Nuggets,98 - 110
13,1,20/10/2021 23:00,Moda Center,Portland Trail Blazers,Sacramento Kings,121 - 124
14,1,21/10/2021 20:30,State Farm Arena,Atlanta Hawks,Dallas Mavericks,113 - 87
15,1,21/10/2021 21:00,FTX Arena,Miami Heat,Milwaukee Bucks,137 - 95
16,1,21/10/2021 23:00,Chase Center,Golden State Warriors,LA Clippers,115 - 113
17,1,22/10/2021 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Charlotte Hornets,112 - 123
18,1,22/10/2021 20:00,Amway Center,Orlando Magic,New York Knicks,96 - 121
19,1,22/10/2021 20:00,Capital One Arena,Washington Wizards,Indiana Pacers,135 - 134
20,1,22/10/2021 20:30,TD Garden,Boston Celtics,Toronto Raptors,83 - 115
21,1,22/10/2021 20:30,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,109 - 114
22,1,22/10/2021 21:00,United Center,Chicago Bulls,New Orleans Pelicans,128 - 112
23,1,22/10/2021 21:00,Toyota Center,Houston Rockets,Oklahoma City Thunder,124 - 91
24,1,22/10/2021 22:00,Ball Arena,Denver Nuggets,San Antonio Spurs,102 - 96
25,1,22/10/2021 23:00,STAPLES Center,Los Angeles Lakers,Phoenix Suns,105 - 115
26,1,22/10/2021 23:00,Golden 1 Center,Sacramento Kings,Utah Jazz,101 - 110
27,1,23/10/2021 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,101 - 95
28,1,23/10/2021 20:00,Gainbridge Fieldhouse,Indiana Pacers,Miami Heat,102 - 91
29,1,23/10/2021 20:30,Scotiabank Arena,Toronto Raptors,Dallas Mavericks,95 - 103
30,1,23/10/2021 21:00,United Center,Chicago Bulls,Detroit Pistons,97 - 82
31,1,23/10/2021 21:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,96 - 89
32,1,23/10/2021 21:30,AT&T Center,San Antonio Spurs,Milwaukee Bucks,111 - 121
33,1,23/10/2021 23:00,Moda Center,Portland Trail Blazers,Phoenix Suns,134 - 105
34,1,23/10/2021 23:30,STAPLES Center,LA Clippers,Memphis Grizzlies,114 - 120
35,1,24/10/2021 17:00,Barclays Center,Brooklyn Nets,Charlotte Hornets,95 - 111
36,1,24/10/2021 20:00,Madison Square Garden,New York Knicks,Orlando Magic,104 - 110
37,1,24/10/2021 20:00,Toyota Center,Houston Rockets,Boston Celtics,97 - 107
38,1,24/10/2021 20:00,Paycom Center,Oklahoma City Thunder,Philadelphia 76ers,103 - 115
39,1,24/10/2021 22:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,107 - 119
40,1,24/10/2021 22:30,STAPLES Center,Los Angeles Lakers,Memphis Grizzlies,121 - 118
41,1,25/10/2021 20:00,Spectrum Center,Charlotte Hornets,Boston Celtics,129 - 140
42,1,25/10/2021 20:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,109 - 119
43,1,25/10/2021 20:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,122 - 104
44,1,25/10/2021 20:30,Barclays Center,Brooklyn Nets,Washington Wizards,104 - 90
45,1,25/10/2021 20:30,FTX Arena,Miami Heat,Orlando Magic,107 - 90
46,1,25/10/2021 20:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,108 - 111
47,1,25/10/2021 21:00,Target Center,Minnesota Timberwolves,New Orleans Pelicans,98 - 107
48,1,25/10/2021 22:00,Ball Arena,Denver Nuggets,Cleveland Cavaliers,87 - 99
49,1,25/10/2021 23:30,STAPLES Center,LA Clippers,Portland Trail Blazers,116 - 86
50,1,26/10/2021 20:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,112 - 99
51,1,26/10/2021 21:00,Paycom Center,Oklahoma City Thunder,Golden State Warriors,98 - 106
52,1,26/10/2021 21:30,American Airlines Center,Dallas Mavericks,Houston Rockets,116 - 106
53,1,26/10/2021 21:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,121 - 125
54,1,26/10/2021 23:00,Vivint Arena,Utah Jazz,Denver Nuggets,122 - 110
55,1,27/10/2021 20:00,Amway Center,Orlando Magic,Charlotte Hornets,111 - 120
56,1,27/10/2021 20:30,TD Garden,Boston Celtics,Washington Wizards,107 - 116
57,1,27/10/2021 20:30,Barclays Center,Brooklyn Nets,Miami Heat,93 - 106
58,1,27/10/2021 20:30,Scotiabank Arena,Toronto Raptors,Indiana Pacers,118 - 100
59,1,27/10/2021 20:30,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,99 - 102
60,1,27/10/2021 21:00,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,108 - 113
61,1,27/10/2021 21:00,Paycom Center,Oklahoma City Thunder,Los Angeles Lakers,123 - 115
62,1,27/10/2021 23:00,Footprint Center,Phoenix Suns,Sacramento Kings,107 - 110
63,1,27/10/2021 23:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,116 - 96
64,1,27/10/2021 23:30,STAPLES Center,LA Clippers,Cleveland Cavaliers,79 - 92
65,2,28/10/2021 20:00,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,110 - 102
66,2,28/10/2021 20:00,Capital One Arena,Washington Wizards,Atlanta Hawks,122 - 111
67,2,28/10/2021 21:00,United Center,Chicago Bulls,New York Knicks,103 - 104
68,2,28/10/2021 21:00,Toyota Center,Houston Rockets,Utah Jazz,91 - 122
69,2,28/10/2021 21:30,American Airlines Center,Dallas Mavericks,San Antonio Spurs,104 - 99
70,2,28/10/2021 23:00,Chase Center,Golden State Warriors,Memphis Grizzlies,101 - 104
71,2,29/10/2021 20:00,Scotiabank Arena,Toronto Raptors,Orlando Magic,110 - 109
72,2,29/10/2021 20:30,Barclays Center,Brooklyn Nets,Indiana Pacers,105 - 98
73,2,29/10/2021 20:30,FTX Arena,Miami Heat,Charlotte Hornets,114 - 99
74,2,29/10/2021 21:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,109 - 113
75,2,29/10/2021 23:00,Ball Arena,Denver Nuggets,Dallas Mavericks,106 - 75
76,2,29/10/2021 23:00,Moda Center,Portland Trail Blazers,LA Clippers,111 - 92
77,2,29/10/2021 23:30,STAPLES Center,Los Angeles Lakers,Cleveland Cavaliers,113 - 101
78,2,30/10/2021 18:00,Capital One Arena,Washington Wizards,Boston Celtics,115 - 112
79,2,30/10/2021 20:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,110 - 103
80,2,30/10/2021 20:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,117 - 123
81,2,30/10/2021 20:30,Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,94 - 97
82,2,30/10/2021 20:30,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,122 - 94
83,2,30/10/2021 21:00,United Center,Chicago Bulls,Utah Jazz,107 - 99
84,2,30/10/2021 21:00,FedExForum,Memphis Grizzlies,Miami Heat,103 - 129
85,2,30/10/2021 21:00,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,93 - 102
86,2,30/10/2021 21:30,Chase Center,Golden State Warriors,Oklahoma City Thunder,103 - 82
87,2,30/10/2021 22:00,Target Center,Minnesota Timberwolves,Denver Nuggets,91 - 93
88,2,30/10/2021 23:00,Footprint Center,Phoenix Suns,Cleveland Cavaliers,101 - 92
89,2,31/10/2021 16:30,American Airlines Center,Dallas Mavericks,Sacramento Kings,105 - 99
90,2,31/10/2021 20:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,125 - 113
91,2,31/10/2021 20:00,Fiserv Forum,Milwaukee Bucks,Utah Jazz,95 - 107
92,2,31/10/2021 20:30,Barclays Center,Brooklyn Nets,Detroit Pistons,117 - 91
93,2,31/10/2021 23:30,STAPLES Center,Los Angeles Lakers,Houston Rockets,95 - 85
94,2,01/11/2021 20:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,110 - 113
95,2,01/11/2021 20:00,Gainbridge Fieldhouse,Indiana Pacers,San Antonio Spurs,131 - 118
96,2,01/11/2021 20:00,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,113 - 103
97,2,01/11/2021 20:30,State Farm Arena,Atlanta Hawks,Washington Wizards,118 - 111
98,2,01/11/2021 20:30,TD Garden,Boston Celtics,Chicago Bulls,114 - 128
99,2,01/11/2021 20:30,Madison Square Garden,New York Knicks,Toronto Raptors,104 - 113
100,2,01/11/2021 21:00,FedExForum,Memphis Grizzlies,Denver Nuggets,106 - 97
101,2,01/11/2021 21:00,Target Center,Minnesota Timberwolves,Orlando Magic,97 - 115
102,2,01/11/2021 23:30,STAPLES Center,LA Clippers,Oklahoma City Thunder,99 - 94
103,2,02/11/2021 20:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,89 - 117
104,2,02/11/2021 20:30,American Airlines Center,Dallas Mavericks,Miami Heat,110 - 125
105,2,02/11/2021 22:00,Vivint Arena,Utah Jazz,Sacramento Kings,119 - 113
106,2,02/11/2021 23:00,Footprint Center,Phoenix Suns,New Orleans Pelicans,112 - 100
107,2,02/11/2021 23:30,STAPLES Center,Los Angeles Lakers,Houston Rockets,119 - 117
108,2,03/11/2021 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Portland Trail Blazers,107 - 104
109,2,03/11/2021 20:00,Gainbridge Fieldhouse,Indiana Pacers,New York Knicks,111 - 98
110,2,03/11/2021 20:00,Amway Center,Orlando Magic,Boston Celtics,79 - 92
111,2,03/11/2021 20:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,103 - 98
112,2,03/11/2021 20:00,Capital One Arena,Washington Wizards,Toronto Raptors,100 - 109
113,2,03/11/2021 20:30,Barclays Center,Brooklyn Nets,Atlanta Hawks,117 - 108
114,2,03/11/2021 21:00,FedExForum,Memphis Grizzlies,Denver Nuggets,108 - 106
115,2,03/11/2021 21:00,Target Center,Minnesota Timberwolves,LA Clippers,115 - 126
116,2,03/11/2021 21:30,AT&T Center,San Antonio Spurs,Dallas Mavericks,108 - 109
117,2,03/11/2021 23:00,Chase Center,Golden State Warriors,Charlotte Hornets,114 - 92
118,2,03/11/2021 23:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,112 - 99
119,3,04/11/2021 20:00,Little Caesars Arena,Detroit Pistons,Philadelphia 76ers,98 - 109
120,3,04/11/2021 20:30,State Farm Arena,Atlanta Hawks,Utah Jazz,98 - 116
121,3,04/11/2021 20:30,FTX Arena,Miami Heat,Boston Celtics,78 - 95
122,3,04/11/2021 23:00,Footprint Center,Phoenix Suns,Houston Rockets,123 - 111
123,3,04/11/2021 23:30,STAPLES Center,Los Angeles Lakers,Oklahoma City Thunder,104 - 107
124,3,05/11/2021 20:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,90 - 96
125,3,05/11/2021 20:00,Amway Center,Orlando Magic,San Antonio Spurs,89 - 102
126,3,05/11/2021 20:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,115 - 87
127,3,05/11/2021 20:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,101 - 102
128,3,05/11/2021 20:30,Fiserv Forum,Milwaukee Bucks,New York Knicks,98 - 113
129,3,05/11/2021 21:00,Target Center,Minnesota Timberwolves,LA Clippers,84 - 104
130,3,05/11/2021 23:00,Chase Center,Golden State Warriors,New Orleans Pelicans,126 - 85
131,3,05/11/2021 23:00,Moda Center,Portland Trail Blazers,Indiana Pacers,110 - 106
132,3,05/11/2021 23:00,Golden 1 Center,Sacramento Kings,Charlotte Hornets,140 - 110
133,3,06/11/2021 18:00,Ball Arena,Denver Nuggets,Houston Rockets,95 - 94
134,3,06/11/2021 20:30,FTX Arena,Miami Heat,Utah Jazz,118 - 115
135,3,06/11/2021 21:00,United Center,Chicago Bulls,Philadelphia 76ers,105 - 114
136,3,06/11/2021 21:30,American Airlines Center,Dallas Mavericks,Boston Celtics,107 - 104
137,3,06/11/2021 23:00,Footprint Center,Phoenix Suns,Atlanta Hawks,121 - 117
138,3,06/11/2021 23:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,105 - 90
139,3,07/11/2021 17:30,Scotiabank Arena,Toronto Raptors,Brooklyn Nets,103 - 116
140,3,07/11/2021 20:00,Madison Square Garden,New York Knicks,Cleveland Cavaliers,109 - 126
141,3,07/11/2021 20:00,Amway Center,Orlando Magic,Utah Jazz,107 - 100
142,3,07/11/2021 20:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,101 - 94
143,3,07/11/2021 20:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,91 - 94
144,3,07/11/2021 21:00,Paycom Center,Oklahoma City Thunder,San Antonio Spurs,99 - 94
145,3,07/11/2021 22:30,Chase Center,Golden State Warriors,Houston Rockets,120 - 107
146,3,07/11/2021 23:00,STAPLES Center,LA Clippers,Charlotte Hornets,120 - 106
147,3,08/11/2021 21:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,96 - 103
148,3,08/11/2021 22:00,United Center,Chicago Bulls,Brooklyn Nets,118 - 95
149,3,08/11/2021 22:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,125 - 118
150,3,08/11/2021 22:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,108 - 92
151,3,08/11/2021 23:00,Ball Arena,Denver Nuggets,Miami Heat,113 - 96
152,3,09/11/2021 00:00,Chase Center,Golden State Warriors,Atlanta Hawks,127 - 113
153,3,09/11/2021 00:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,104 - 109
154,3,09/11/2021 00:30,STAPLES Center,Los Angeles Lakers,Charlotte Hornets,126 - 123
155,3,09/11/2021 21:30,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,109 - 118
156,3,09/11/2021 23:00,Vivint Arena,Utah Jazz,Atlanta Hawks,110 - 98
157,3,10/11/2021 00:00,STAPLES Center,LA Clippers,Portland Trail Blazers,117 - 109
158,3,10/11/2021 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Washington Wizards,94 - 97
159,3,10/11/2021 21:00,Amway Center,Orlando Magic,Brooklyn Nets,90 - 123
160,3,10/11/2021 21:30,TD Garden,Boston Celtics,Toronto Raptors,104 - 88
161,3,10/11/2021 21:30,Madison Square Garden,New York Knicks,Milwaukee Bucks,100 - 112
162,3,10/11/2021 21:30,Toyota Center,Houston Rockets,Detroit Pistons,104 - 112
163,3,10/11/2021 22:00,United Center,Chicago Bulls,Dallas Mavericks,117 - 107
164,3,10/11/2021 22:00,FedExForum,Memphis Grizzlies,Charlotte Hornets,108 - 118
165,3,10/11/2021 22:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,100 - 108
166,3,10/11/2021 22:30,AT&T Center,San Antonio Spurs,Sacramento Kings,136 - 117
167,3,10/11/2021 23:00,Ball Arena,Denver Nuggets,Indiana Pacers,101 - 98
168,3,10/11/2021 23:00,Footprint Center,Phoenix Suns,Portland Trail Blazers,119 - 109
169,3,11/11/2021 00:00,Chase Center,Golden State Warriors,Minnesota Timberwolves,123 - 110
170,3,11/11/2021 00:00,STAPLES Center,Los Angeles Lakers,Miami Heat,120 - 117
171,4,11/11/2021 21:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,109 - 115
172,4,11/11/2021 23:00,Vivint Arena,Utah Jazz,Indiana Pacers,100 - 111
173,4,12/11/2021 00:30,STAPLES Center,LA Clippers,Miami Heat,112 - 109
174,4,12/11/2021 21:00,Spectrum Center,Charlotte Hornets,New York Knicks,104 - 96
175,4,12/11/2021 21:30,TD Garden,Boston Celtics,Milwaukee Bucks,122 - 113
176,4,12/11/2021 21:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,98 - 78
177,4,12/11/2021 22:00,Toyota Center,Houston Rockets,Portland Trail Blazers,92 - 104
178,4,12/11/2021 22:00,FedExForum,Memphis Grizzlies,Phoenix Suns,94 - 119
179,4,12/11/2021 22:00,Smoothie King Center,New Orleans Pelicans,Brooklyn Nets,112 - 120
180,4,12/11/2021 22:00,Paycom Center,Oklahoma City Thunder,Sacramento Kings,105 - 103
181,4,12/11/2021 22:30,AT&T Center,San Antonio Spurs,Dallas Mavericks,109 - 123
182,4,12/11/2021 23:00,Ball Arena,Denver Nuggets,Atlanta Hawks,105 - 96
183,4,13/11/2021 00:00,Chase Center,Golden State Warriors,Chicago Bulls,119 - 93
184,4,13/11/2021 00:30,STAPLES Center,Los Angeles Lakers,Minnesota Timberwolves,83 - 107
185,4,13/11/2021 19:00,Vivint Arena,Utah Jazz,Miami Heat,105 - 111
186,4,13/11/2021 21:00,Gainbridge Fieldhouse,Indiana Pacers,Philadelphia 76ers,118 - 113
187,4,13/11/2021 21:00,Amway Center,Orlando Magic,Washington Wizards,92 - 104
188,4,13/11/2021 21:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,112 - 101
189,4,13/11/2021 21:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,121 - 127
190,4,13/11/2021 22:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,91 - 89
191,4,14/11/2021 00:30,STAPLES Center,LA Clippers,Minnesota Timberwolves,129 - 102
192,4,14/11/2021 17:30,STAPLES Center,Los Angeles Lakers,San Antonio Spurs,114 - 106
193,4,14/11/2021 20:00,State Farm Arena,Atlanta Hawks,Milwaukee Bucks,120 - 100
194,4,14/11/2021 21:00,Spectrum Center,Charlotte Hornets,Golden State Warriors,106 - 102
195,4,14/11/2021 21:00,Toyota Center,Houston Rockets,Phoenix Suns,89 - 115
196,4,14/11/2021 21:00,Paycom Center,Oklahoma City Thunder,Brooklyn Nets,96 - 120
197,4,14/11/2021 22:00,Ball Arena,Denver Nuggets,Portland Trail Blazers,124 - 95
198,4,14/11/2021 23:30,STAPLES Center,LA Clippers,Chicago Bulls,90 - 100
199,4,15/11/2021 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,92 - 98
200,4,15/11/2021 21:00,Little Caesars Arena,Detroit Pistons,Sacramento Kings,107 - 129
201,4,15/11/2021 21:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,105 - 100
202,4,15/11/2021 21:30,State Farm Arena,Atlanta Hawks,Orlando Magic,129 - 111
203,4,15/11/2021 21:30,Madison Square Garden,New York Knicks,Indiana Pacers,92 - 84
204,4,15/11/2021 22:00,American Airlines Center,Dallas Mavericks,Denver Nuggets,111 - 101
205,4,15/11/2021 22:00,FedExForum,Memphis Grizzlies,Houston Rockets,136 - 102
206,4,15/11/2021 22:00,Target Center,Minnesota Timberwolves,Phoenix Suns,96 - 99
207,4,15/11/2021 22:00,Paycom Center,Oklahoma City Thunder,Miami Heat,90 - 103
208,4,16/11/2021 00:00,Moda Center,Portland Trail Blazers,Toronto Raptors,118 - 113
209,4,16/11/2021 00:30,STAPLES Center,Los Angeles Lakers,Chicago Bulls,103 - 121
210,4,16/11/2021 21:30,Barclays Center,Brooklyn Nets,Golden State Warriors,99 - 117
211,4,17/11/2021 00:00,Vivint Arena,Utah Jazz,Philadelphia 76ers,120 - 85
212,4,17/11/2021 00:30,STAPLES Center,LA Clippers,San Antonio Spurs,106 - 92
213,4,17/11/2021 21:00,Spectrum Center,Charlotte Hornets,Washington Wizards,97 - 87
214,4,17/11/2021 21:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,97 - 89
215,4,17/11/2021 21:30,State Farm Arena,Atlanta Hawks,Boston Celtics,110 - 99
216,4,17/11/2021 21:30,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,109 - 99
217,4,17/11/2021 21:30,FTX Arena,Miami Heat,New Orleans Pelicans,113 - 98
218,4,17/11/2021 21:30,Madison Square Garden,New York Knicks,Orlando Magic,98 - 104
219,4,17/11/2021 21:30,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,109 - 102
220,4,17/11/2021 22:00,Target Center,Minnesota Timberwolves,Sacramento Kings,107 - 97
221,4,17/11/2021 22:00,Paycom Center,Oklahoma City Thunder,Houston Rockets,101 - 89
222,4,18/11/2021 00:00,Footprint Center,Phoenix Suns,Dallas Mavericks,105 - 98
223,4,18/11/2021 00:00,Moda Center,Portland Trail Blazers,Chicago Bulls,112 - 107
224,5,18/11/2021 21:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Golden State Warriors,89 - 104
225,5,18/11/2021 21:30,FTX Arena,Miami Heat,Washington Wizards,112 - 97
226,5,18/11/2021 22:00,FedExForum,Memphis Grizzlies,LA Clippers,115 - 90
227,5,18/11/2021 22:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,120 - 108
228,5,18/11/2021 23:00,Ball Arena,Denver Nuggets,Philadelphia 76ers,89 - 103
229,5,18/11/2021 23:00,Vivint Arena,Utah Jazz,Toronto Raptors,119 - 103
230,5,19/11/2021 21:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,121 - 118
231,5,19/11/2021 21:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,102 - 105
232,5,19/11/2021 21:30,TD Garden,Boston Celtics,Los Angeles Lakers,130 - 108
233,5,19/11/2021 21:30,Barclays Center,Brooklyn Nets,Orlando Magic,115 - 113
234,5,19/11/2021 22:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,96 - 89
235,5,19/11/2021 22:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,94 - 81
236,5,19/11/2021 23:00,Ball Arena,Denver Nuggets,Chicago Bulls,108 - 114
237,5,20/11/2021 00:00,Footprint Center,Phoenix Suns,Dallas Mavericks,112 - 104
238,5,20/11/2021 00:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,89 - 108
239,5,20/11/2021 19:00,Madison Square Garden,New York Knicks,Houston Rockets,106 - 99
240,5,20/11/2021 21:00,Gainbridge Fieldhouse,Indiana Pacers,New Orleans Pelicans,111 - 94
241,5,20/11/2021 21:00,Capital One Arena,Washington Wizards,Miami Heat,103 - 100
242,5,20/11/2021 21:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,115 - 105
243,5,20/11/2021 21:30,TD Garden,Boston Celtics,Oklahoma City Thunder,111 - 105
244,5,20/11/2021 22:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,117 - 108
245,5,20/11/2021 22:00,Target Center,Minnesota Timberwolves,Memphis Grizzlies,138 - 95
246,5,21/11/2021 00:00,Moda Center,Portland Trail Blazers,Philadelphia 76ers,118 - 111
247,5,21/11/2021 00:00,Golden 1 Center,Sacramento Kings,Utah Jazz,105 - 123
248,5,21/11/2021 17:30,STAPLES Center,LA Clippers,Dallas Mavericks,97 - 91
249,5,21/11/2021 20:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,116 - 121
250,5,21/11/2021 22:00,United Center,Chicago Bulls,New York Knicks,109 - 103
251,5,21/11/2021 22:00,Footprint Center,Phoenix Suns,Denver Nuggets,126 - 97
252,5,21/11/2021 22:30,Chase Center,Golden State Warriors,Toronto Raptors,119 - 104
253,5,22/11/2021 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,112 - 117
254,5,22/11/2021 21:00,Capital One Arena,Washington Wizards,Charlotte Hornets,103 - 109
255,5,22/11/2021 21:30,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,113 - 101
256,5,22/11/2021 21:30,TD Garden,Boston Celtics,Houston Rockets,108 - 90
257,5,22/11/2021 22:00,United Center,Chicago Bulls,Indiana Pacers,77 - 109
258,5,22/11/2021 22:00,Fiserv Forum,Milwaukee Bucks,Orlando Magic,123 - 92
259,5,22/11/2021 22:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,96 - 110
260,5,22/11/2021 22:30,AT&T Center,San Antonio Spurs,Phoenix Suns,111 - 115
261,5,22/11/2021 23:00,Vivint Arena,Utah Jazz,Memphis Grizzlies,118 - 119
262,5,23/11/2021 00:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,94 - 102
263,5,23/11/2021 21:00,Little Caesars Arena,Detroit Pistons,Miami Heat,92 - 100
264,5,23/11/2021 21:30,Madison Square Garden,New York Knicks,Los Angeles Lakers,106 - 100
265,5,24/11/2021 00:00,Moda Center,Portland Trail Blazers,Denver Nuggets,119 - 100
266,5,24/11/2021 00:30,STAPLES Center,LA Clippers,Dallas Mavericks,104 - 112
267,5,24/11/2021 21:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Phoenix Suns,115 - 120
268,5,24/11/2021 21:00,Gainbridge Fieldhouse,Indiana Pacers,Los Angeles Lakers,116 - 124
269,5,24/11/2021 21:00,Amway Center,Orlando Magic,Charlotte Hornets,99 - 106
270,5,24/11/2021 21:30,TD Garden,Boston Celtics,Brooklyn Nets,104 - 123
271,5,24/11/2021 22:00,Toyota Center,Houston Rockets,Chicago Bulls,118 - 113
272,5,24/11/2021 22:00,FedExForum,Memphis Grizzlies,Toronto Raptors,113 - 126
273,5,24/11/2021 22:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,114 - 93
274,5,24/11/2021 22:00,Target Center,Minnesota Timberwolves,Miami Heat,113 - 101
275,5,24/11/2021 22:00,Smoothie King Center,New Orleans Pelicans,Washington Wizards,127 - 102
276,5,24/11/2021 22:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,104 - 110
277,5,24/11/2021 22:30,AT&T Center,San Antonio Spurs,Atlanta Hawks,106 - 124
278,5,25/11/2021 00:00,Chase Center,Golden State Warriors,Philadelphia 76ers,116 - 96
279,5,25/11/2021 00:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,125 - 121
280,6,26/11/2021 17:30,STAPLES Center,LA Clippers,Detroit Pistons,107 - 96
281,6,26/11/2021 21:00,Spectrum Center,Charlotte Hornets,Minnesota Timberwolves,133 - 115
282,6,26/11/2021 21:00,Madison Square Garden,New York Knicks,Phoenix Suns,97 - 118
283,6,26/11/2021 21:00,Amway Center,Orlando Magic,Chicago Bulls,88 - 123
284,6,26/11/2021 22:00,Gainbridge Fieldhouse,Indiana Pacers,Toronto Raptors,114 - 97
285,6,26/11/2021 22:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,100 - 132
286,6,26/11/2021 22:00,Paycom Center,Oklahoma City Thunder,Washington Wizards,99 - 101
287,6,26/11/2021 22:30,AT&T Center,San Antonio Spurs,Boston Celtics,96 - 88
288,6,26/11/2021 23:00,Ball Arena,Denver Nuggets,Milwaukee Bucks,109 - 120
289,6,26/11/2021 23:00,Vivint Arena,Utah Jazz,New Orleans Pelicans,97 - 98
290,6,27/11/2021 00:00,Chase Center,Golden State Warriors,Portland Trail Blazers,118 - 103
291,6,27/11/2021 00:30,STAPLES Center,Los Angeles Lakers,Sacramento Kings,137 - 141
