Match Number,Round Number,Date,Location,Home Team,Away Team,Result
957,19,05/03/2022 22:00,FedExForum,Memphis Grizzlies,Orlando Magic,124 - 96
958,19,05/03/2022 22:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,135 - 121
959,19,05/03/2022 22:30,Crypto.com Arena,Los Angeles Lakers,Golden State Warriors,124 - 116
960,19,06/03/2022 15:00,TD Garden,Boston Celtics,Brooklyn Nets,126 - 120
961,19,06/03/2022 17:30,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,132 - 122
963,19,06/03/2022 20:00,Capital One Arena,Washington Wizards,Indiana Pacers,133 - 123
964,19,06/03/2022 21:00,Toyota Center,Houston Rockets,Memphis Grizzlies,123 - 112
965,19,06/03/2022 21:00,Paycom Center,Oklahoma City Thunder,Utah Jazz,103 - 116
962,19,06/03/2022 21:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Toronto Raptors,104 - 96
967,19,06/03/2022 22:00,Ball Arena,Denver Nuggets,New Orleans Pelicans,138 - 130
966,19,07/03/2022 00:00,Crypto.com Arena,LA Clippers,New York Knicks,93 - 116
968,19,07/03/2022 21:00,Little Caesars Arena,Detroit Pistons,Atlanta Hawks,133 - 110
969,19,07/03/2022 21:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,121 - 106
970,19,07/03/2022 21:30,FTX Arena,Miami Heat,Houston Rockets,123 - 106
971,19,07/03/2022 22:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,124 - 81
972,19,07/03/2022 22:30,American Airlines Center,Dallas Mavericks,Utah Jazz,111 - 103
973,19,07/03/2022 22:30,AT&T Center,San Antonio Spurs,Los Angeles Lakers,117 - 110
528,19,07/03/2022 23:00,Ball Arena,Denver Nuggets,Golden State Warriors,131 - 124
974,19,08/03/2022 00:30,Golden 1 Center,Sacramento Kings,New York Knicks,115 - 131
975,19,08/03/2022 21:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,121 - 132
976,19,08/03/2022 21:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,124 - 127
977,19,08/03/2022 21:00,Amway Center,Orlando Magic,Phoenix Suns,99 - 102
978,19,08/03/2022 21:30,FedExForum,Memphis Grizzlies,New Orleans Pelicans,132 - 111
979,19,08/03/2022 22:00,Paycom Center,Oklahoma City Thunder,Milwaukee Bucks,115 - 142
980,19,09/03/2022 00:00,Chase Center,Golden State Warriors,LA Clippers,112 - 97
981,19,09/03/2022 21:00,Spectrum Center,Charlotte Hornets,Boston Celtics,101 - 115
982,19,09/03/2022 21:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,108 - 114
983,19,09/03/2022 21:30,FTX Arena,Miami Heat,Phoenix Suns,90 - 111
984,19,09/03/2022 22:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,124 - 115
985,19,09/03/2022 22:00,Toyota Center,Houston Rockets,Los Angeles Lakers,139 - 130
986,19,09/03/2022 22:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,132 - 102
987,19,09/03/2022 22:00,Smoothie King Center,New Orleans Pelicans,Orlando Magic,102 - 108
988,19,09/03/2022 22:30,American Airlines Center,Dallas Mavericks,New York Knicks,77 - 107
989,19,09/03/2022 22:30,AT&T Center,San Antonio Spurs,Toronto Raptors,104 - 119
990,19,10/03/2022 00:00,Vivint Arena,Utah Jazz,Portland Trail Blazers,123 - 85
991,19,10/03/2022 00:00,Golden 1 Center,Sacramento Kings,Denver Nuggets,100 - 106
992,19,10/03/2022 00:30,Crypto.com Arena,LA Clippers,Washington Wizards,115 - 109
